vehicleCode,tripId,dtToken,direction,partIndex,regionId,roadName,pointsCombined,pointsCleaned,sourceZips
4,125367-1771840749998,20260224-160002,WB,1,Region 1,Manila North Rd,4378,2927,"GPX_4_125367-1771840749998-10c125fe-84b6-42af-9a25-fd6a3c9257d4-1_20260224-160002.zip"
4,125367-1771840749998,20260224-171431,EB,2,Region 1,Manila North Rd,3373,3006,"GPX_4_125367-1771840749998-10c125fe-84b6-42af-9a25-fd6a3c9257d4-2_20260224-171431.zip"
4,194712-1771840703117,20260224-160009,EB,1,Region 1,Manila North Rd,3524,3233,"GPX_4_194712-1771840703117-d0b837b3-3b97-46f5-aa8a-4f4c2a6b87c4-1_20260224-160009.zip"
4,194712-1771840703117,20260224-175221,WB,2,Region 1,Manila North Rd,2721,2623,"GPX_4_194712-1771840703117-d0b837b3-3b97-46f5-aa8a-4f4c2a6b87c4-2_20260224-175221.zip"
4,369357-1771840679978,20260224-070007,EB,1,Region 1,Manila North Rd,3003,2376,"GPX_4_369357-1771840679978-d0b837b3-3b97-46f5-aa8a-4f4c2a6b87c4-1_20260224-070007.zip"
4,369357-1771840679978,20260224-080346,WB,2,Region 1,Manila North Rd,3962,3601,"GPX_4_369357-1771840679978-d0b837b3-3b97-46f5-aa8a-4f4c2a6b87c4-2_20260224-080346.zip|GPX_4_369357-1771840679978-d0b837b3-3b97-46f5-aa8a-4f4c2a6b87c4-2_20260224-080954.zip"
4,369357-1771840679978,20260224-091447,EB,3,Region 1,Manila North Rd,4359,3662,"GPX_4_369357-1771840679978-d0b837b3-3b97-46f5-aa8a-4f4c2a6b87c4-3_20260224-091447.zip"
4,524173-1771840733231,20260224-070003,WB,1,Region 1,Manila North Rd,4292,3241,"GPX_4_524173-1771840733231-10c125fe-84b6-42af-9a25-fd6a3c9257d4-1_20260224-070003.zip"
4,524173-1771840733231,20260224-082432,EB,2,Region 1,Manila North Rd,2784,2650,"GPX_4_524173-1771840733231-10c125fe-84b6-42af-9a25-fd6a3c9257d4-2_20260224-082432.zip"
4,524173-1771840733231,20260224-091847,WB,3,Region 1,Manila North Rd,3063,2451,"GPX_4_524173-1771840733231-10c125fe-84b6-42af-9a25-fd6a3c9257d4-3_20260224-091847.zip|GPX_4_524173-1771840733231-10c125fe-84b6-42af-9a25-fd6a3c9257d4-3_20260224-095436.zip"
4,524173-1771840733231,20260224-100229,SB,4,Region 1,Manila North Rd,1693,1659,"GPX_4_524173-1771840733231-10c125fe-84b6-42af-9a25-fd6a3c9257d4-4_20260224-100229.zip"
4,639231-1771840740912,20260224-110003,EB,1,Region 1,Manila North Rd,3041,2438,"GPX_4_639231-1771840740912-10c125fe-84b6-42af-9a25-fd6a3c9257d4-1_20260224-110003.zip"
4,639231-1771840740912,20260224-120129,WB,2,Region 1,Manila North Rd,1074,1013,"GPX_4_639231-1771840740912-10c125fe-84b6-42af-9a25-fd6a3c9257d4-2_20260224-120129.zip"
4,639231-1771840740912,20260224-123439,SB,3,Region 1,Manila North Rd,1906,1692,"GPX_4_639231-1771840740912-10c125fe-84b6-42af-9a25-fd6a3c9257d4-3_20260224-123439.zip"
4,639231-1771840740912,20260224-130927,EB,4,Region 1,Manila North Rd,2581,2468,"GPX_4_639231-1771840740912-10c125fe-84b6-42af-9a25-fd6a3c9257d4-4_20260224-130927.zip"
4,894358-1771840690804,20260224-110013,WB,1,Region 1,Manila North Rd,4194,3883,"GPX_4_894358-1771840690804-d0b837b3-3b97-46f5-aa8a-4f4c2a6b87c4-1_20260224-110013.zip"
4,894358-1771840690804,20260224-123533,EB,2,Region 1,Manila North Rd,2749,2635,"GPX_4_894358-1771840690804-d0b837b3-3b97-46f5-aa8a-4f4c2a6b87c4-2_20260224-123533.zip"
