ControlPoint,Latitude,Longitude
K0393,17.09288022,121.8542198
K0394,17.10012851,121.8586503
K0395,17.10682502,121.8647917
K0396,17.11518932,121.8641949
K0397,17.1226662,121.8665121
K0398,17.12758107,121.8695489
K0399,17.12365202,121.8765367
K0400,17.12284508,121.8844904
K0401,17.12012542,121.8925131
K0402,17.1185849,121.901003
K0404,17.1306856,121.9134299
K0405,17.13818642,121.9185978
K0406,17.14609933,121.9224619
K0407,17.15501416,121.9212789
K0408,17.16389914,121.9200899
K0409,17.16846998,121.9129911
K0410,17.16972067,121.9043471
K0411,17.17634552,121.8989834
K0412,17.18476869,121.8969073
K0413,17.19163564,121.8910578
K0414,17.20000559,121.8894998
K0415,17.2063267,121.8828538
K0416,17.21253152,121.8763068
K0417,17.21923577,121.8703258
K0418,17.22701752,121.8667376
K0419,17.23353639,121.86032
K0420,17.23926638,121.8533606
K0421,17.24221706,121.8445366
K0422,17.24859666,121.8389633
K0423,17.25725175,121.8371965
K0425,17.27303882,121.8283739
K0426,17.27332687,121.8194072
K0427,17.27380811,121.8102353
K0428,17.28218839,121.8071069
K0429,17.29105845,121.8056109
K0430,17.29995652,121.8045727
"CP1-Checkpoint Tumauini, 1, Tumauini, Isabela",17.30049337,121.8044556
"CP2-Shell, Barangay Upi, 1 Pan-Philippine Highway, Gamu, Isabela",17.08937342,121.8535605
